Nommage_fichier,Type_source,Contributeur,Titre,Auteur,Directeur,Editeur,Editeur_scientifique,Lieu_publication_en,Date_publication,Annee_1er_numero,Annee_dernier_numero,Langue_source,Format,Licence,Source_diffuseur,Depot,Numerise_par,Date_numerisation,Notes_ressource,Type_evenement,Date_debut_exposition,Date_fin_exposition,Titre_exposition,Exposition_itinerante,Ville_exposition_en,Pays_en,Etat_en,Titre_groupe_expositions,Type_groupe_expositions,Titre_section,Adresse_section_decrite_dans_catalogue,Lieu_exposition_section_unique,Type_lieu,Numero_et_nom_rue_section,Etage_section,Lieu-dit_section,Complement_adresse_section,Notes_section,Manifeste_IIIF
exhibCat_1925_Paris_ChineExpositionInternationaleArtsDecoratifs,exhibition_catalog,Auriane Quoix,La Chine à l'Exposition internationale des arts décoratifs et industriels modernes à Paris. Catalogue des œuvres d'art décoratif artistique et industrielles modernes exposées dans la section chinoise.,,,Imprimerie Labor,Exposition internationale (1925 ; Paris),Paris,1925,,,fr,1 vol. (40 p.) ; 25 cm,https://gallica.bnf.fr/html/und/conditions-dutilisation-des-contenus-de-gallica,https://gallica.bnf.fr/ark:/12148/bpt6k317898c,Bibliothèque nationale de France,Bibliothèque nationale de France,,,exhibition,1925-04-28,1925-11-30,La Chine à l'exposition internationale des arts décoratifs et industriels modernes à Paris,fixed,Paris,France,,,artists_group,Section de Chine,"Au Grand Palais - 1er étage, à gauche de la salle des Congrès",Grand Palais,room,"3, avenue du Général Eisenhower",1er étage,,à gauche de la salle des Congrès,"La Galerie de Chine se trouve au premier étage du Grand Palais, à gauche de la Salle du Congrès, et près des Galeries de la Manufacture des Gobelins et de la Section Russe. Elle est composée de huit stands et de deux vestibules. La porte d'honneur se trouve du côté de la Section Russe et représente une décoration de chimères chinoises évoluées.",https://gallica.bnf.fr/iiif/ark:/12148/bpt6k317898c/manifest.json
exhibCat_1899_Paris_LithographiesFantin-Latour,exhibition_catalog,Auriane Quoix,Catalogue des lithographies originales de Henri Fantin-Latour : Expositions périodiques d'estampes. Troisième exposition (1er juin 1899),Léonce Bénédite (1859-1925),,Librairies-imprimeries réunies,Musée du Luxembourg (Paris ; 1818-1937),Paris,1899,,,fr,1 vol. (64 p.) : fig. ; in-8,https://gallica.bnf.fr/html/und/conditions-dutilisation-des-contenus-de-gallica,https://gallica.bnf.fr/ark:/12148/bpt6k6573766f,Bibliothèque de l'INHA / coll. J. Doucet,Bibliothèque nationale de France,,,exhibition,1899-06-01,,Expositions périodiques d'estampes. Troisième exposition,fixed,Paris,France,,,simple_exhibition,,,Musée national du Luxembourg,museum,"19, rue de Vaugirard",,,,,https://gallica.bnf.fr/iiif/ark:/12148/bpt6k6573766f/manifest.json
exhibCat_1883_Paris_ExpositionRetrospectiveArtJaponais,exhibition_catalog,Auriane Quoix,Catalogue de l'exposition rétrospective de l'art japonais,Louis Gonse (1846-1921),,A. Quantin,,Paris,1883,,,fr,1 vol. (495 p.) : fig. ; in-8,https://gallica.bnf.fr/html/und/conditions-dutilisation-des-contenus-de-gallica,https://gallica.bnf.fr/ark:/12148/bpt6k6373975m,Bibliothèque nationale de France,,,,exhibition,1883-04,1883-05,Exposition rétrospective de l'art japonais,fixed,Paris,France,,,simple_exhibition,,,Galeries Georges Petit,gallery,"8, rue de Sèze",,,,,https://gallica.bnf.fr/iiif/ark:/12148/bpt6k6373975m/manifest.json
exhibCat_1886_Paris_ExpositionMaitresSiecle,exhibition_catalog,Auriane Quoix,Catalogue. Exposition de Maîtres du Siècle,,,,,Paris,1886,,,fr,1 vol. (28 p.),https://gallica.bnf.fr/html/und/conditions-dutilisation-des-contenus-de-gallica,https://gallica.bnf.fr/ark:/12148/btv1b7200759d,Bibliothèque nationale de France,Bibliothèque nationale de France,,,exhibition,1886-04,1886-05,Exposition de Maîtres du Siècle,fixed,Paris,France,,,simple_exhibition,,"Ancien atelier de Gustave Doré, 3, rue Bayard",Ancien atelier de Gustave Doré,other_type,"3, rue Bayard",,,,,https://gallica.bnf.fr/iiif/ark:/12148/btv1b7200759d/manifest.json
exhibCat_1890_Paris_SocieteArtistesIndependants,exhibition_catalog,Caroline Corbières,Société des artistes indépendants. Catalogue des œuvres exposées. 6e exposition,Salon des indépendants,,Société des artistes indépendants,,Paris,1890,,,fr,1 vol. (42 p.) ; 17 cm,https://gallica.bnf.fr/html/und/conditions-dutilisation-des-contenus-de-gallica,https://gallica.bnf.fr/ark:/12148/bpt6k933463t,Bibliothèque nationale de France,Bibliothèque nationale de France,,,exhibition,1890-03-20,1890-04-27,"6e exposition, pavillon de la ville de Paris, du 20 mars au 27 avril",fixed,Paris,France,,Salon des indépendants,salon,,Pavillon de la ville de Paris,Pavillon de la Ville de Paris,room,,,,,,https://gallica.bnf.fr/iiif/ark:/12148/bpt6k49789g/manifest.json
exhibCat_1892_Paris_SocieteArtistesIndependants,exhibition_catalog,Auriane Quoix,Société des artistes indépendants. Catalogue des œuvres exposées.,Salon des indépendants,,Société des artistes indépendants,,Paris,1892,,,fr,1 vol. (75 p.) ; 18 cm,https://gallica.bnf.fr/html/und/conditions-dutilisation-des-contenus-de-gallica,https://gallica.bnf.fr/ark:/12148/bpt6k1269951h,Bibliothèque nationale de France,Bibliothèque nationale de France,,,exhibition,1892-03-19,1892-04-27,"8e Exposition du 19 mars au 27 avril 1892, Pavillon de la ville de Paris, Champs Elysées",fixed,Paris,France,,Salon des indépendants,salon,,Pavillon de la ville de Paris (Champs-Elysées),Pavillon de la ville de Paris,room,,,,,,https://gallica.bnf.fr/iiif/ark:/12148/bpt6k1269951h/manifest.json
exhibCat_1901_Paris_SocieteArtistesIndependants,exhibition_catalog,Caroline Corbières,"Société des artistes indépendants. 17, Catalogue des oeuvres exposées 1901",Salon des indépendants,,,,Paris,1901,,,fr,1 vol. (61 p.) ; 18 cm,https://gallica.bnf.fr/html/und/conditions-dutilisation-des-contenus-de-gallica,https://gallica.bnf.fr/ark:/12148/bpt6k326416k?rk=64378;0,Bibliothèque nationale de France,Bibliothèque nationale de France,,,exhibition,1901-04-20,1901-05-21,"17e exposition, grandes serres de l'Exposition universelle [Paris]..., du 20 avril au 21 mai...",fixed,Paris,France,,Salon des indépendants,salon,,grandes serres de l'Exposition universelle (Cours-la-Reine),grandes serres de l'Exposition universelle,other_type,Cours-la-Reine,,,,,https://gallica.bnf.fr/iiif/ark:/12148/bpt6k326416k/manifest.json
exhibCat_1903_Paris_SocieteArtistesIndependants,exhibition_catalog,Caroline Corbières,"Société des artistes indépendants. 19, Catalogue de la 19e exposition 1903",Salon des indépendants,,,,Paris,1903,,,fr,1 vol. (128 p.) ; 18 cm,https://gallica.bnf.fr/html/und/conditions-dutilisation-des-contenus-de-gallica,https://gallica.bnf.fr/ark:/12148/bpt6k3264156?rk=85837;2,Bibliothèque nationale de France,Bibliothèque nationale de France,,,exhibition,1903-03-20,1903-04-25,"19e exposition 1903 : Grandes serres de la ville de Paris..., du 20 mars au 25 avril...",fixed,Paris,France,,Salon des indépendants,salon,,Grandes serres de la Ville de Paris (Cours-la-Reine,Grandes serres de la Ville de Paris ,other_type,Cours-la-Reine,,,,,https://gallica.bnf.fr/iiif/ark:/12148/bpt6k3264156/manifest.json
exhibCat_1913_Paris_SocieteArtistesIndependants,exhibition_catalog,Caroline Corbières,"Société des artistes indépendants. 29, Catalogue de la 29e exposition.",Salon des indépendants,,,,Paris,1913,,,fr,1 vol. (318 p.) ; 18 cm,https://gallica.bnf.fr/html/und/conditions-dutilisation-des-contenus-de-gallica,https://gallica.bnf.fr/ark:/12148/bpt6k8892045?rk=236052;4,Bibliothèque nationale de France,Bibliothèque nationale de France,,,exhibition,1913-03-19,1913-05-18,"29e exposition, 1913 : Quai d'Orsay, Pont de l'Alma, du 19 mars au 18 mai inclus",fixed,Paris,France,,Salon des indépendants,salon,,"Quai d'Orsay, Pont de l'Alma",Quai d'Orsay,other_type,Pont de l'Alma,,,,,https://gallica.bnf.fr/iiif/ark:/12148/bpt6k8892045/manifest.json
exhibCat_1923_Paris_SocieteArtisesIndependants,exhibition_catalog,Caroline Corbières,"Société des artistes indépendants. 34, Catalogue de la 34e exposition 1923.",Salon des indépendants,,,,Paris,1923,,,fr,1 vol. (164 p.) ; 18 cm,https://gallica.bnf.fr/html/und/conditions-dutilisation-des-contenus-de-gallica,https://gallica.bnf.fr/ark:/12148/bpt6k889198g?rk=321890;0,Bibliothèque nationale de France,Bibliothèque nationale de France,,,exhibition,1923-02-10,1923-03-11,"34e exposition 1923 : Grand Palais des Champs-Elysées, du 10 février au 11 mars",fixed,Paris,France,,Salon des indépendants,salon,,Grand Palais des Champs-Elysées,Grand Palais,other_type,Champs-Elysées ,,,,,https://gallica.bnf.fr/iiif/ark:/12148/bpt6k889198g/manifest.json
exhibCat_1943_Paris_SocieteArtistesIndependants,exhibition_catalog,Caroline Corbières,Société des artistes indépendants. Catalogue de la 54e exposition,Salon des indépendants,,L'Emancipatrice,,Paris,1943,,,fr,1 vol. (147 p.) ; 18 cm,https://gallica.bnf.fr/html/und/conditions-dutilisation-des-contenus-de-gallica,https://gallica.bnf.fr/ark:/12148/bpt6k9741112g?rk=751076;4,Bibliothèque nationale de France,Bibliothèque nationale de France,,,exhibition,1943-03-05,1943-04-11,"54e exposition : Musée d'art moderne de la ville de Paris, Avenue de Tokyo, du 5 mars au 11 avril inclus",fixed,Pa,France,,Salon des indépendants,salon,,Musée d'art moderne de la ville de Paris,Musée d'art moderne de la ville de Paris,museum,Avenue de Tokyo,,,,,https://gallica.bnf.fr/iiif/ark:/12148/bpt6k9741112g/manifest.json
exhibCat_1921_TheHague_ExpositionHollandaise,exhibition_catalog,Auriane Quoix,"Exposition hollandaise : tableaux, aquarelles et dessins anciens et modernes",Musée du Jeu de paume (Paris),,,,The Hague,1921,,,fr,1 vol. (22 p.- 14 pl.) ; 25 cm,https://gallica.bnf.fr/html/und/conditions-dutilisation-des-contenus-de-gallica,https://gallica.bnf.fr/ark:/12148/bpt6k6481622b,Bibliothèque nationale de France,Bibliothèque nationale de France,,,exhibition,1921-04,1921-05,"Exposition hollandaise : tableaux, aquarelles et dessins anciens et modernes",fixed,Paris,France,,,simple_exhibition,,,Musée du Jeu de Paume,museum,"1, Place de la Concorde",,,,,https://gallica.bnf.fr/iiif/ark:/12148/bpt6k6481622b/manifest.json
exhibCat_1892_Paris_SalonRoseCroix,exhibition_catalog,Auriane Quoix,Catalogue du Salon de la Rose † Croix : Geste esthétique,Salon de la Rose-Croix,Joséphin Peladan (1858-1918),Librairie Nilsson,,Paris,1892,,,fr,1 vol. (75 p.) ; 23 cm,https://gallica.bnf.fr/html/und/conditions-dutilisation-des-contenus-de-gallica,https://gallica.bnf.fr/ark:/12148/bpt6k5470406r,Bibliothèque nationale de France,Bibliothèque nationale de France,,,exhibition,1892-03-10,1892-04-10,1er Salon de la Rose-Croix,fixed,Paris ,France,,Salon de la Rose-Croix,salon,,"11, rue Le Peletier",Galerie Durand-Ruel,gallery ,"11, rue Le Peletier",,,,,https://gallica.bnf.fr/iiif/ark:/12148/bpt6k5470406r/manifest.json
exhibCat_1912_London_SecondPost-impressionistExhibition,exhibition_catalog,Béatrice Joyeux-Prunel,"Second post-impressionist exhibition​, British, French and Russian artists",Roger Eliot Fry (1866-1934),,Ballantyne & Company Ltd. ,Grafton Galleries (London),London,1912,,,en,1 vol. (72 p.) ; 19 cm,https://www.etalab.gouv.fr/wp-content/uploads/2014/05/Open_Licence.pdf,https://bibliotheque-numerique.inha.fr/idurl/1/35311,"Bibliothèque de l'Institut National d'Histoire de l'Art, collections Jacques Doucet",,2017,"Contient une introduction de Roger Fry, des textes de Clive Bell, Roger Fry et Boris von Anrep ; Index.",exhibition,1912-10-05,1912-12-31,Second post-impressionist exhibition​,fixed,London,United Kingdom,,,artists_group,,"8, Grafton Street, Bond Street, W.",Grafton Galleries,gallery,"8, Grafton Street, puis Bond Street",,,,,https://bibliotheque-numerique.inha.fr/iiif/35311/manifest
exhibCat_1919_London_FrenchArt1914-1919,exhibition_catalog,Béatrice Joyeux-Prunel,"Catalogue of exhibition of french art, 1914-1919",Arnold Bennett (1867-1931),,Printed at the Pelican Press,Mansard Gallery (London),London,1919,,,en,1 vol. (10 p.) ; 17 x 11 cm,https://www.etalab.gouv.fr/wp-content/uploads/2014/05/Open_Licence.pdf,https://bibliotheque-numerique.inha.fr/viewer/49980/?offset=#page=2&viewer=picture&o=bookmark&n=0&q,"Bibliothèque de l'Institut National d'Histoire de l'Art, collections Jacques Doucet",,2018,La Mansard Gallery a été fondée en 1917 par Frank Pick (1878-1941) et Ambrose Heal (1872-1959),exhibition,1919-08,1919-08,"French Art, 1914-1919",fixed,London,United Kingdom,,,simple_exhibition,,Tottenham Court RD. W.,Mansard Gallery,gallery,Tottenham Court RD. W.,,,,,https://bibliotheque-numerique.inha.fr/iiif/49980/manifest
exhibCat_1904_Brussels_LibreEsthetique,exhibition_catalog,Béatrice Joyeux-Prunel,Exposition des peintres impressionnistes : Libre Esthétique,Octave Maus ,,Imprimerie Veuve Monnon,,Brussels ,1904,,,fr,1 vol. (56 p.) ; 17 cm,https://www.etalab.gouv.fr/wp-content/uploads/2014/05/Open_Licence.pdf,https://bibliotheque-numerique.inha.fr/viewer/26791/?offset=#page=6&viewer=picture&o=bookmark&n=0&q,"Bibliothèque de l'Institut National d'Histoire de l'Art, collections Jacques Doucet",,2012,,exhibition,1904-02-25,1904-03-22,Exposition des peintres impressionnistes : Libre Esthétique,fixed,Brussels ,Belgium,,,artists_group,,,,,,,,,,https://bibliotheque-numerique.inha.fr/iiif/26791/manifest
exhibCat_1883_Paris_ClaudeMonet,exhibition_catalog,Béatrice Joyeux-Prunel,Catalogue de l'exposiiton des oeuvres de Claude Monet,,,impr. J.-H. Gouéry,,Paris,1883,,,fr,1 vol. (4 p.) ; In-8,https://gallica.bnf.fr/html/und/conditions-dutilisation-des-contenus-de-gallica,https://gallica.bnf.fr/ark:/12148/btv1b525044704,Bibliothèque nationale de France,Bibliothèque nationale de France,2014-07-28,,exhibition,1883-03-01,1883-03-25,Claude Monet ,fixed,Paris ,France,,,simple_exhibition,,,,,"9, boulevard de la Madeleine",,,,,https://gallica.bnf.fr/iiif/ark:/12148/btv1b525044704/manifest.json
exhibCat_1911_Paris_CharlesCottet,exhibition_catalog,Béatrice Joyeux-Prunel,Exposition Charles Cottet,Léonce Bénédite ,,Imprimerie Georges Petit ,Galerie Georges Petit ,Paris,1911,,,fr,1 vol. (59 p.) ; in-8,https://gallica.bnf.fr/html/und/conditions-dutilisation-des-contenus-de-gallica,https://gallica.bnf.fr/ark:/12148/bpt6k321659b,Bibliothèque nationale de France,Bibliothèque nationale de France,2018-10-28,,exhibition,1911-06-14,1911-07-13,Chares Cottet ,fixed,Paris ,France,,,simple_exhibition,,,Galeries Georges Petit,gallery ,"8, rue de Sèze ",,,,,https://gallica.bnf.fr/iiif/ark:/12148/bpt6k321659b/manifest.json
perio_1888-05_Paris_JaponArtistique,periodical,Auriane Quoix,"Le Japon artistique, documents d’art et d’industrie réunis par Siegfried Bing",,Siegfried Bing (1838-1905),Marpon et Flammarion,,Paris,1888-05,1888,1891,fr,,https://gallica.bnf.fr/html/und/conditions-dutilisation-des-contenus-de-gallica,https://gallica.bnf.fr/ark:/12148/bpt6k9115319,Bibliothèque nationale de France,,,,,,,,,,,,,,,,,,,,,,,https://gallica.bnf.fr/iiif/ark:/12148/bpt6k9115319/manifest.json
perio_1890-01_Paris_MercureFrance,periodical,Auriane Quoix,Mercure de France : série moderne,,Alfred Vallette (1858-1935),Mercure de France,,Paris,1890-01,1890,1965,fr,23 cm,https://gallica.bnf.fr/html/und/conditions-dutilisation-des-contenus-de-gallica,https://gallica.bnf.fr/ark:/12148/bpt6k1051017,Bibliothèque nationale de France,,,,,,,,,,,,,,,,,,,,,,,https://gallica.bnf.fr/iiif/ark:/12148/bpt6k1051017/manifest.json
perio_1894-04_London_YellowBook,periodical,Auriane Quoix,The Yellow Book: An Illustrated Quarterly,,,Charles Elkin Mathews (1851-1921),,London,1894-04,1894,1897,en,,https://www.ub.uni-heidelberg.de/Englisch/helios/digi/nutzung/Welcome.html,https://digi.ub.uni-heidelberg.de/diglit/yellow_book1894_1,Universitätsbibliothek Heidelberg,,,,,,,,,,,,,,,,,,,,,,,https://digi.ub.uni-heidelberg.de/diglit/iiif/yellow_book1894_1/manifest.json
perio_1905-07_Paris_ArtDecoratif,periodical,Auriane Quoix,L'Art décoratif : revue internationale d'art industriel et de décoration,,Fernand Roches (1910-1913),,,Paris,1905-07,1898,1914,fr,,https://gallica.bnf.fr/html/und/conditions-dutilisation-des-contenus-de-gallica,https://gallica.bnf.fr/ark:/12148/bpt6k1204557d,Bibliothèque nationale de France,,,,,,,,,,,,,,,,,,,,,,,https://gallica.bnf.fr/iiif/ark:/12148/bpt6k1204557d/manifest.json
perio_1921-11_Paris_OeufDur,periodical,Auriane Quoix,L'Oeuf Dur,,Georges Duvau (1903-1958),,,Paris,1921-11,1921,1924,fr,"23 x 14,5 cm",https://gallica.bnf.fr/html/und/conditions-dutilisation-des-contenus-de-gallica,https://gallica.bnf.fr/ark:/12148/bpt6k1051017,Bibliothèque nationale de France,Bibliothèque nationale de France,,,,,,,,,,,,,,,,,,,,,,https://gallica.bnf.fr/iiif/ark:/12148/bpt6k1051017/manifest.json
perio_1922-07_Lyon_Manometre,periodical,Auriane Quoix,Manomètre,,Emile Malespine (1892-1952),E. Malespine,,Lyon,1922-07,1922,1928,fr,"17,5 x 22,5 cm",https://gallica.bnf.fr/html/und/conditions-dutilisation-des-contenus-de-gallica,https://gallica.bnf.fr/ark:/12148/bpt6k329089,Bibliothèque nationale de France,,,,,,,,,,,,,,,,,,,,,,,https://gallica.bnf.fr/iiif/ark:/12148/bpt6k329089/manifest.json
perio_1924-10_Paris_Surrealisme,periodical,Auriane Quoix,Surréalisme,,Yvan Goll (1891-1950),Yvan Goll,,Paris,1924-10-01,1924,1924,fr,1 n° (16 p.) ; 26 cm,https://gallica.bnf.fr/html/und/conditions-dutilisation-des-contenus-de-gallica,https://gallica.bnf.fr/ark:/12148/bpt6k1511119d,Bibliothèque nationale de France,Bibliothèque nationale de France,,,,,,,,,,,,,,,,,,,,,,https://gallica.bnf.fr/iiif/ark:/12148/bpt6k1511119d/manifest.json
perio_1924-12_Paris_RevolutionSurrealiste,periodical,Auriane Quoix,La Révolution surréaliste,,André Breton (1896-1966),Librairie J. Corti,,Paris,1924-12-01,1924,1929,fr,29 cm,https://gallica.bnf.fr/html/und/conditions-dutilisation-des-contenus-de-gallica,https://gallica.bnf.fr/ark:/12148/bpt6k5844543r,Bibliothèque nationale de France,Bibliothèque nationale de France,,,,,,,,,,,,,,,,,,,,,,https://gallica.bnf.fr/iiif/ark:/12148/bpt6k5844543r/manifest.json
perio_1933-06_Paris_Minotaure,periodical,Auriane Quoix,Minotaure : revue artistique et littéraire,,Albert Skira (1904-1973),Editions Albert Skira,,Paris,1933-06-01,1933,1939,fr,33 cm,https://gallica.bnf.fr/html/und/conditions-dutilisation-des-contenus-de-gallica,https://gallica.bnf.fr/ark:/12148/bpt6k1525969k,Bibliothèque nationale de France,Bibliothèque nationale de France,,,,,,,,,,,,,,,,,,,,,,https://gallica.bnf.fr/iiif/ark:/12148/bpt6k1525969k/manifest.json
perio_1935-04_Paris_BeteNoire,periodical,Auriane Quoix,La Bête noire : artistique et littéraire,,Maurice Raynal (1884-1954),,,Paris,1935-04-01,1935,1936,fr,,https://gallica.bnf.fr/html/und/conditions-dutilisation-des-contenus-de-gallica,https://gallica.bnf.fr/ark:/12148/bpt6k55684296,Bibliothèque nationale de France,Bibliothèque nationale de France,,,,,,,,,,,,,,,,,,,,,,https://gallica.bnf.fr/iiif/ark:/12148/bpt6k55684296/manifest.json